province,title,rating,description,address,img,types
Hải Phòng,Chùa Phổ Chiếu,4.5,,"RMRH+X27, Dư Hàng, Lê Chân, Hải Phòng 180000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMXiJQ3feIOHGJdAKHHjr3dDxWlwVwpk-BNEoU6=w80-h105-k-no,"['Điểm thu hút khách du lịch', 'Chùa', 'Địa điểm hành hương', 'Điểm đến tôn giáo', 'Chùa phật giáo']"
Hải Phòng,Nhà hát Thành phố Hải Phòng,4.7,,"28 P. Trần Hưng Đạo, Hoàng Văn Thụ, Hồng Bàng, Hải Phòng, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPC-3d_KHsOf11X-ihRGKNPAdF40By5n89iCpTh=w163-h92-k-no,['Nhà hát Opera']
Hải Phòng,Chùa Dư Hàng,4.5,,"121 P. Dư Hàng, Dư Hàng, Lê Chân, Hải Phòng 180000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipM7XeqkMjTFnA2GScT71DaHg4Rl91Odsouueugl=w137-h92-k-no,"['Điểm thu hút khách du lịch', 'Chùa', 'Địa điểm hành hương', 'Điểm đến tôn giáo', 'Chùa phật giáo']"
Hải Phòng,Hải Đăng Plaza,4.3,,"19 P. Trần Khánh Dư, Máy Tơ, Ngô Quyền, Hải Phòng, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPEM23ZKxHQwTk5fUor3_kyjHjyGY2JwqKQeDow=w80-h106-k-no,"['Địa điểm tổ chức lễ cưới', 'Nhà hàng ẩm thực đồng quê', 'Nơi tổ chức sự kiện', 'Nhà hàng', 'Nhà hàng hải sản', 'Siêu thị']"
Hải Phòng,Vườn cúc Họa Mi Tràng Cát,4,,"Tràng Cát, Hải An, Hải Phòng, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPuGVr2tTz_fh-EeTTOSlkQKWa13TDuaWDFzpgJ=w138-h92-k-no,['Vườn']
Hải Phòng,Big Sun,4.4,,"QM4C+V32, Hữu Bằng, Kiến Thụy, Hải Phòng, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPgViKc4jyTcdeu0y29TAwAuMPTcpQEOF0hlwOs=w163-h92-k-no,['Công viên giải trí']
Hậu Giang,Công viên ánh sáng kỳ quan thế giới,4.3,,"QFVQ+QRJ, Phường 5, Vị Thanh, Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipO5IrZAC63WuKoDzGJ-m3mi1iPEiZamDKhoW2iE=w80-h120-k-no,['Công viên']
Hậu Giang,Công viên Chiến Thắng,4.2,,"QFRJ+FMG, Phường 5, Vị Thanh, Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPnpcXwYe-9zTndlgUGJzg3uOR2ibGJjxpP58bI=w163-h92-k-no,['Công viên']
Hậu Giang,Chợ đêm Vị Thanh,4.3,,"70 Trưng Nhị, Phường 1, Vị Thanh, Hậu Giang 95100, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOhGyug9luSuyB0-djEELSMlcsy_f4nimwtIQ8o=w122-h92-k-no,['Chợ đêm']
Hậu Giang,Cafe hồ Thủy Tạ,4,,"QFRJ+87W, Phường 5, Vị Thanh, Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipM4VZr0zqJeYzc7iMvkG7G5P2wxqkve1KAPfx-F=w163-h92-k-no,['Quán cà phê']
Hậu Giang,CGV Vincom Plaza Hậu Giang,3.8,,"Tầng 4, TTTM Vincom Plaza Hậu Giang, Số 1, Đường 3 Tháng 2, Khu vực 3,, Phường 5, Vị Thanh, Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOyRnQAI42E4y17RI6Ub-2hXClG0N8YKjW6BIVh=w154-h92-k-no,['Rạp chiếu phim']
Hậu Giang,Chợ Vị Thanh,4.3,,"27 Nguyễn Văn Trỗi, Phường 3, Vị Thanh, Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipP-ALWqhYLV7mUEQCZV8nbaMts_jBwvb8iobb6G=w163-h92-k-no,['Chợ']
Hậu Giang,Nhà Hàng Tiến Thơ,4,,"16 Ngô Quốc Trị, Phường 5, Vị Thanh, Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipM3BbkDreFPX8ybGsY6vyuxFF7t5zFMe1jK48E9=w80-h106-k-no,['Nhà hàng']
Hậu Giang,SOJO Hotel Hau Giang,4.7,,"16A Đường Nguyễn Công Trứ, Khu vực 1, Vị Thanh, Hậu Giang 910000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipNuxBx678PUbUpiJbv0Pce7Zfi9Rt87o-MBaHvr=w89-h92-k-no,['Khách sạn']
Hậu Giang,KS Văn Quang,3.1,,"58 Nguyễn Công Trứ, Phường 1, Vị Thanh, Hậu Giang, Việt Nam",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGeQcPqTo__Nk8kPA2GJLKdaoU8UWHVceLl3AjMbnq1an4uE7_89NSqqM6Y5NNqgwivU7LNX_H3bPxEGeCySbVvIXKU7sCb9Xotvpnb7mSAELm4o7oxZoKaFc1jFWp4V1yH_p4uJX55sxoVtzw5NhFet1WnSujaxs_o_p_wOvjPrwFitd54CQOkUg=w80-h106-k-no,['Khách sạn']
Hậu Giang,Vườn Tre Tư Sang - Hậu Giang,4,,"Unnamed Road, Thạnh Hoà, Phụng Hiệp, Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPLdrEBAtwYjJayqnLFGhfVXHyMsrctBq26S13y=w122-h92-k-no,"['Điểm thu hút khách du lịch', 'Vườn']"
Hậu Giang,Khu di tích Chiến thắng Tầm Vu,4.5,,"WM7X+6QM, QL61, Thạnh Hoà, Châu Thành A, Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMjbMPSLisafir_wgPfRiXWohO1jMXepGAF3rUP=w138-h92-k-no,"['Điểm thu hút khách du lịch', 'Bảo tàng']"
Hậu Giang,Khu Di Tích Huyện Long Mỹ,4.6,,"MF88+948, Vĩnh Viễn, Long Mỹ, Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipP4G_HTO3LkGf1SBVYHQ5iFV0kfhKD9QbJXlNBQ=w129-h92-k-no,['Bảo tàng di sản']
Hậu Giang,Báo Hậu Giang,4.1,,"Võ Văn Kiệt, Phường 5, Vị Thanh, Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPqUPg3kh3qVqvWOuABo-ZseGztVhYWp5N4lGGI=w80-h106-k-no,['Nhà xuất bản báo']
Hậu Giang,kênh Xáng Xà No,4.3,,"Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMPrG-2wHi44GL8hxlkOI6WMzPrnKoVdK4p32ss=w122-h92-k-no,['nước']
Hậu Giang,Thiền viện Trúc Lâm Hậu Giang,4.6,,"KV Bình Tân, Long Mỹ, Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMVTOPdThr4JnN70e3oqOydLgUr5XRGcYnIWo5r=w138-h92-k-no,['Chùa phật giáo']
Hậu Giang,Khu du lịch Khóm Cầu Đúc,3.6,,"P952+FCC, Unnamed, Road, Vị Thanh, Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMrTTaxjAG8W_4D5J1KR-P6o9JHjIjkY9JCsx84=w80-h142-k-no,
Hậu Giang,Vườn Dâu Cao Sản Thiên Ân,3.8,,"Số 38 khu vực 7, Ngã Bảy, Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipP7uMXPqGV0Uc8D9pd30S0_6vy8baLzClONsJ26=w138-h92-k-no,['Điểm thu hút khách du lịch']
Hậu Giang,Khu Di Tích Căn Cứ Tỉnh Ủy Cần Thơ,4.6,,"PJPG+6C7, Phương Bình, Phụng Hiệp, Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPTBX5R4dmkgmhHfYWuR7Gfi_cQ28agVRlsZlnQ=w80-h106-k-no,['Bảo tàng di sản']
Hậu Giang,Khu Dã Ngoại Bamboo Garden,4.1,,"VM6Q+GF4, Unnamed Road, Thạnh Hoà, Phụng Hiệp, Hậu Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipObYL9c2yPYpiZayvJ9d9FkDiG1h0oyWekSGwP6=w122-h92-k-no,
Hậu Giang,Việt Úc Hậu Giang. KDL Sinh Thái Rừng Tràm Vị Thủy,5,,"ấp Vĩnh Thạnh, Vị Thuỷ, Hậu Giang, Việt Nam",,['Khách sạn nghỉ dưỡng']
Hòa Bình,Quảng Trường Hòa Bình,4.4,,"R87X+37M, Chi Lăng, Dân Chủ, Hòa Bình, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipO3BvYr5CaoKzkUu_jFGSnHBWvYTXbXwmST7y9h=w122-h92-k-no,['Công viên thành phố']
Hòa Bình,Khu Vui Chơi Tuệ Minh TM KIDS,3.8,,"R973+C9V, Quỳnh Lâm, Hòa Bình, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMKhZBDZKQJSW9a8nH6-cMdStRMqOqiYjUtVwXo=w122-h92-k-no,['Trung tâm vui chơi dành cho trẻ em']
Hòa Bình,Venus Cinema Hoà Bình,4.8,,"Tầng 4 TTTM Vincom Hoà Bình, Cù Chính Lan, Đồng Tên, Hòa Bình, 350000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipNhvoExNiC0NcqqxXfrIYHVcWKefAPshlUJCV-a=w122-h92-k-no,['Rạp chiếu phim']
Hòa Bình,Bến Tàu Du Lịch Hồ Hòa Bình,4.2,,"R876+7X8, Âu Cơ, Thái Thịnh, Hòa Bình, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOTzSaPUScbEkPqBznEOIccBmmVQgSIIStQNjGC=w122-h92-k-no,['Bến du thuyền']
Hòa Bình,Khu Du Lịch Hồ Hòa Bình Thung Nai,4.7,,"Thung Nai, Cao Phong, Hòa Bình, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMvW9EX0WwgC4ZgS_wpLzE3dg9pmRtVefuR0KVz=w163-h92-k-no,['Điểm thu hút khách du lịch']
Hòa Bình,Hồ Hòa Bình,4.6,,"Hòa Bình, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOsengVdhxbvg-AtNi-SqiBngIcAHKzkYmajrOk=w122-h92-k-no,['Hồ chứa nước']
Hòa Bình,Du lịch tâm linh Đền Chúa Thác Bờ,4.8,,"tổ 10 Đà Giang, Đồng Tên, Hòa Bình, 36000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPeyqy1J4uTvdSQTgtgjO1pbnpPN2G12mWXWTpS=w163-h92-k-no,"['Nhà điều hành du lịch', 'Dịch vụ cho thuê thuyền']"
Hòa Bình,Công Viên Di Sản,4.4,,"Unnamed Road, Bắc Phong, Cao Phong, Hòa Bình, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPKj8bizwi6iD2DaKxW8u_c41FxHjaJynNaSTva=w122-h92-k-no,['Công viên giải trí']
Hòa Bình,Nhà Máy Thủy Điện Hòa Bình,4.6,,"R87F+CRR, Tân Thịnh, Hòa Bình, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipP3M9F5X1lcZshhwLD9e_AUE7kFxqpehRfPNdKq=w163-h92-k-no,"['Nhà máy thủy điện', 'Nhà máy điện']"
Hòa Bình,Bảo tàng Không gian Văn hóa Mường,4.1,,"202 Tây Tiến, Phường, Hòa Bình, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipNX1FUDpaUR26NUbeoQhdiuaX6kI_Y5tfX69rtb=w122-h92-k-no,"['Bảo tàng dân tộc học', 'Khách sạn nghỉ dưỡng', 'Nhà hàng']"
Hòa Bình,Green Coffee,4,,"R88M+XQ6, Phư Lâm, Hòa Bình, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipN8ZjG_ISmXJgwhnOeZvoeuAc2j383Svpxt9nPj=w163-h92-k-no,['Quán cà phê']
Hòa Bình,Thung Yen Village,5,,"Thung Yên Village, Thung Mường, Kim Bôi, Hòa Bình, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipNYwjaH85jhrhM0NfzBzJd__ttaSNdmNb7OnJ86=w138-h92-k-no,['Khách sạn nghỉ dưỡng']
Hòa Bình,1983 Coffee & Billiard Club,4.4,,"Tân Thịnh, Hòa Bình, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipNLYJYSasRIfTTFscD57O7bQa72A4OwIkjp4RfV=w122-h92-k-no,['Quán cà phê']
Hòa Bình,Động Thác Bờ Ngòi Hoa,4.4,,"Q54G+PH9, Ngòi Hoa, Tân Lạc, Hòa Bình, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMCIzwE8nBUheAmf-i7_U0kWHpP1WF3MqnNIvnd=w163-h92-k-no,['Điểm thu hút khách du lịch']
Hòa Bình,Mơ Village,4.5,,"Hiền Lương, Đà Bắc, Hòa Bình 36000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOmWeXq5kQirS_4bhOup87_1FPNOMbZEwb3Dqfo=w137-h92-k-no,['Khách sạn nghỉ dưỡng']
Hòa Bình,Khu du lịch sinh thái Nhà Tôi,3.9,,"RJ57+QPW, Tiến Sơn, Lương Sơn, Hòa Bình, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPh9RUEptYhPj0ZsV48guV-QN6oNcl4CV2ocbgK=w122-h92-k-no,['Điểm thu hút khách du lịch']
Hòa Bình,An Bình Glamping,4.9,,"Mến Bôi, Kim Lập, Kim Bôi, Hòa Bình, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPcjgqwmjX8K8pn-3lnMhKp61LqqnFZsUzjcBM8=w163-h92-k-no,['Điểm thu hút khách du lịch']
Hòa Bình,Thác Tú Sơn,3.6,,"PC59+X57, Tú Sơn, Kim Bôi, Hòa Bình 36000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipN28idjxfmatYEM_MzzEctF_IGIkVD2lm2c2zOv=w80-h142-k-no,['Khách sạn nghỉ dưỡng']
Hòa Bình,Seaper Island - Homestay Nổi & CLB Thể Thao Nước,5,,"Bè Cá Tầm, Bến, xóm Doi, Đà Bắc, Hòa Bình 100000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipN1Pqr5U_J1_9buIe1KcK2mXvf74xS43GrUdmtG=w122-h92-k-no,"['Trung tâm vui chơi giải trí', 'Khách sạn']"
Hòa Bình,Khu Du Lịch Suối Khoáng Kim Bôi,3.9,,"Khu, Mớ Đá, Kim Bôi, Hòa Bình 36000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipNwtCTfwEUnCnlAr4ssAgt6YZfsU5mCM3rKQ4-j=w138-h92-k-no,['Điểm thu hút khách du lịch']
Hưng Yên,Công viên Nam Hoà,4.2,,"Lê Lai, Lê Lợi, Hưng Yên, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPuO70E-9GA038nQ-88yjav8-Uyj-i60n27xsPK=w122-h92-k-no,['Công viên']
Hưng Yên,Du Lịch Phố Hiến,4.4,,"Đường Điện Biên 2, Hồng Châu, Hưng Yên, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipObh27-J1yc6dESh6ZReUYH-h4H6p9bFpTZNu6-=w122-h92-k-no,['Điểm thu hút khách du lịch']
Hưng Yên,Khu vui chơi trẻ em Happy land,5,,"M394+484, Lê Văn Hưu, P. Hiền Nam, Hưng Yên, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOQZAbGlrkQB1t30s72FXtAWzN3JSlwyEXD_dJW=w163-h92-k-no,['Trung tâm vui chơi dành cho trẻ em']
Hưng Yên,Khu vui chơi trẻ em Công viên Nam Hòa,5,,"M334+995, Lê Lợi, Hưng Yên, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOudzCUr7_KMM3iBYadpZBnXylqm3kiG5jEpQrB=w122-h92-k-no,['Công viên']
Hưng Yên,Văn Miếu Xích Đằng,4.6,,"Lê Quý Đôn, P. Lam Sơn, Hưng Yên, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPaCzgL0iczFMz1tarXdPM30n2CIf1GnLqNggIb=w122-h92-k-no,"['Điểm thu hút khách du lịch', 'Bảo tàng']"
Hưng Yên,Chùa Chuông,4.6,,"thôn Nhân Dục, P. Hiền Nam, Hưng Yên, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMeFq5DlXTSxbuKuSulcFduHpkJ2hUq6OwbLPOD=w131-h92-k-no,"['Điểm thu hút khách du lịch', 'Chùa', 'Điểm đến tôn giáo', 'Chùa phật giáo']"
Hưng Yên,Đền Mẫu Hưng Yên,4.7,,"141 Bãi Sậy, Quang Trung, Hưng Yên, 160000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMyzbQ5v34teb0j-tMaPprz6VdlnBlOo3aE5xwi=w80-h106-k-no,"['Điểm thu hút khách du lịch', 'Địa điểm hành hương', 'Điểm đến tôn giáo', 'Nơi thờ cúng']"
Hưng Yên,Rạp Phố Hiến,3.8,,"01 Phố Nguyễn Thiện Thuật, Lê Lợi, Hưng Yên, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipNkosBhehIGgCtDwBtmRGQCNMRgxytc6jwCUn_4=w123-h92-k-no,['Rạp chiếu phim']
Hưng Yên,Đền Đậu An,4.6,,"M4J3+PR9, An Viên, Tiên Lữ, Hưng Yên, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPyCJnnp3Gq5Bv4YrMVanPMv4HAOkzM4tnoH4kx=w163-h92-k-no,"['Điểm thu hút khách du lịch', 'Nơi thờ cúng']"
Hưng Yên,Lễ hội Đèn Lồng Quốc Tế Ocean,4.6,,"XX2J+W4R, Nghĩa Trụ, Văn Giang, Hưng Yên, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOmwxbHlah1JtN1V4lp20fjQ_engDQw12susVkQ=w122-h92-k-no,['Điểm thu hút khách du lịch']
Hưng Yên,Hồ bán nguyệt,4.5,,"Tp. Hưng Yên, Hưng Yên, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPvks_oCrYCh32j09cf6QoP6WefFOeo4ZkCLm3j=w122-h92-k-no,['Hồ']
Hưng Yên,Đền Lảnh Giang,4.7,,"M29G+H5M, làng Yên Lạc, Duy Tiên, Hà Nam 400000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipNol2YHkiEHDjkiUjvY4whbbPKSTx4r7zIypcZA=w163-h92-k-no,"['Điểm thu hút khách du lịch', 'Địa điểm hành hương', 'Điểm đến tôn giáo', 'Nơi thờ cúng']"
Hưng Yên,Khu Vui Chơi Trẻ Em Kis Hou,4.6,,"Phố Đìa, Ân Thi, Hưng Yên, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMoy_4dwt-Pee9TQYx4-hWQ4hMqWglyU9zLdRg1=w80-h106-k-no,['Trung tâm vui chơi dành cho trẻ em']
Hưng Yên,Khu Vui Chơi Giải Trí,,,"24 Tô Hiệu, Lương Bằng, Kim Động, Hưng Yên, Việt Nam",,['Hộp đêm']
Hưng Yên,The Venice Grand World,4.5,,"XX3G+QWP, Nghĩa Trụ, Văn Giang, Hưng Yên, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPvJjdYPt9J-vPai1BnCxNG4-Vd5U_zFPZuxqEy=w122-h92-k-no,['Điểm thu hút khách du lịch']
Hưng Yên,Khu vui chơi,,,"398 Sài Thị, TT. Khoái Châu, Khoái Châu, Hưng Yên, Việt Nam",,['Trung tâm vui chơi dành cho trẻ em']
Hưng Yên,Điểm Vui Chơi Cầu Trượt Nước,,,"XX4G+PWG, Nghĩa Trụ, Văn Giang, Hưng Yên, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipN2pnNRBjtvidUpEUGUvAfMAOon_EdrkqVUxCIp=w122-h92-k-no,['Điểm thu hút khách du lịch']
Hưng Yên,Grand World Hà Nội,4.4,,"XX3G+657, Nghĩa Trụ, Văn Giang, Hưng Yên, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipN2UlrCbUFZ4lign3W3z5jsyN_izqbgk0EslacU=w92-h92-k-no,['Điểm thu hút khách du lịch']
Hưng Yên,Khu vui chơi trẻ em xã Đông Ninh,4.9,,"Thôn, Tử Lý, Khoái Châu, Hưng Yên, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPBt5Cr0FGxN6k9NUN1IACbClJZhNI56GI6J4AZ=w122-h92-k-no,['Công viên xe dã ngoại']
Hưng Yên,Khu vui chơi giải trí,,,"H4XX+FPP, Tiến Đức, Hưng Hà, Thái Bình, Việt Nam",,['Sân chơi']
Khánh Hòa,Làng Nghề Trường Sơn,4.6,,"08 Trường Sơn, Vĩnh Nguyên, Nha Trang, Khánh Hòa 57129, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipM6RXvYrHjROg34Xa-Y8YvE2PENarlb1qgCksKh=w163-h92-k-no,['Điểm thu hút khách du lịch']
Khánh Hòa,Công viên Bạch Đằng,4.3,,"Trần Phú, Vĩnh Nguyên, Nha Trang, Khánh Hòa, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOMkRfAnMgUqUBImvjZypzRszVupSf5FJQG7M1V=w163-h92-k-no,"['Điểm thu hút khách du lịch', 'Công viên']"
Khánh Hòa,Làng du lịch Con Sẻ Tre,4.1,,"Vĩnh Nguyên, Nha Trang, Khánh Hòa, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPauLI7y1-rm7gmQSfvEBoi3q0tySGl47rSY_dP=w122-h92-k-no,['Điểm thu hút khách du lịch']
Khánh Hòa,"Tran Phu Beach, Nha Trang",4.7,,"City, 86B Trần Phú, Vĩnh Hoà, Nha Trang, Khánh Hòa, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipNxz3LmDXN40kctnzBaWHTg3J9DeUv6_J_qpsd5=w122-h92-k-no,['Điểm thu hút khách du lịch']
Khánh Hòa,Hòn Chồng,4.3,,"Vĩnh Phước, Nha Trang, Khánh Hòa 650000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipN0lUhbDreFOAhmj-rod_N7bPPC-woiQvDNegiV=w122-h92-k-no,"['Điểm thu hút khách du lịch', 'Thắng cảnh']"
Khánh Hòa,Gắp thú bông JOYLAND,4.8,,"Napoleon Castle, 1 25-26 Đ. Nguyễn Đình Chiểu, Vĩnh Phước, Nha Trang, Khánh Hòa 650000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPL1_UbmF4TnnaL85N-av_ogimdK10_lNzdpu9m=w137-h92-k-no,['Sân chơi']
Khánh Hòa,Trung Tâm Suối khoáng nóng THÁP BÀ NHA TRANG,4.4,,"438 Ngô Đến, Ngọc Hiệp, Nha Trang, Khánh Hòa, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMrji0cb9qxOtxBPC38E19W93tKZRidT2GzzsMI=w163-h92-k-no,"['Điểm thu hút khách du lịch', 'Spa']"
Khánh Hòa,VinWonders Nha Trang,4.6,,"City, Dao, Nha Trang - Hòn Tre, Nha Trang, Khánh Hòa 650000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOdf3KInPTB9_44lO0JqVn8RKLnBcx5eiXsGd7A=w141-h92-k-no,"['Công viên giải trí', 'Công viên xe dã ngoại']"
Khánh Hòa,Chùa Long Sơn,4.3,,"22 Đ. 23 Tháng 10, Phương sơn, Nha Trang, Khánh Hòa 650000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPIbTmfRQjAaJmr4tNVInmvIR6ui-JYil5OcQj4=w138-h92-k-no,"['Điểm thu hút khách du lịch', 'Chùa', 'Chùa phật giáo']"
Khánh Hòa,Bãi biển Nha Trang,4.8,,"102 Trần Phú, Lộc Thọ, Nha Trang, Khánh Hòa 650000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipN5IfaNa7lJxjfsRHesYqMxU9YMcb697BdYQ1AI=w92-h92-k-no,['Điểm thu hút khách du lịch']
Khánh Hòa,Bến Tàu Trí Nguyên,3.6,,"Lộc Thọ, Nha Trang, Khánh Hòa 650000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOsyDJcDlvPjduEhXGDA3Wp9fMpOC3V4x3QMeoS=w137-h92-k-no,"['Điểm thu hút khách du lịch', 'Công viên thủy cung', 'Bến du thuyền']"
Khánh Hòa,Cầu Trần Phú,4.6,,"756X+QMG, Xương Huân, Nha Trang, Khánh Hòa 650000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipMTv9KdhsxHxH3uEXdv17fEiRUxLTIu0_BrqOND=w147-h92-k-no,"['Cầu', 'Điểm thu hút khách du lịch']"
Khánh Hòa,Z Beach Nha Trang,4.2,,"90 Trần Phú, Lộc Thọ, Nha Trang, Khánh Hòa 650000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipO0LXH73TWyO7jRNeausqFxUMvfWsm6S11IAw8Z=w122-h92-k-no,"['Điểm thu hút khách du lịch', 'Quán bar']"
Khánh Hòa,Chợ Vĩnh Hải,4.1,,"Hai Tháng Tư, Vĩnh Hải, Nha Trang, Khánh Hòa 650000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPkqIKka5vwVWheB2StHTl2_iruWIuS0oifaXiI=w122-h92-k-no,"['Điểm thu hút khách du lịch', 'Cửa hàng tạp phẩm', 'Chợ hải sản', 'Chợ', 'Chợ bán buôn']"
Khánh Hòa,Tháp Trầm Hương,4.4,,"Trần Phú Quảng trường, Hai tháng Tư, Lộc Thọ, Nha Trang, Khánh Hòa 650000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipNyL50yhIqgsB0JeG-DfyM06anC1rNhJiY54nJY=w92-h92-k-no,"['Điểm thu hút khách du lịch', 'Công viên']"
Khánh Hòa,I-Resort Swimming Pool,4.2,,"75FG+258, Vĩnh Ngọc, Nha Trang, Khánh Hòa, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipNdot6GesA1BDGseGY2d1Qx7KQHoFbJ_bmRAWsO=w80-h106-k-no,['Điểm thu hút khách du lịch']
Khánh Hòa,Bảo Tàng Hải Dương Học,4.2,,"1 Cầu Đá - Hòn Một, Cầu Đá, Nha Trang, Khánh Hòa 650000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPJ_r7bvl4OoJ8jZfg4cGEuXoi-k0g1tgbyx9Xx=w147-h92-k-no,"['Điểm thu hút khách du lịch', 'Viện nghiên cứu', 'Bảo tàng']"
Khánh Hòa,Vịnh Phao Nổi Splash Bay,4.1,,"Hòn Tre, Khánh Hòa, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipNPIsmmDCHH9BLnZmjG83v3qMmyHA7qvlejJhvo=w163-h92-k-no,['Công viên nước']
Khánh Hòa,Khu Du Lịch Trăm Trứng-100 Egg Theme Park,4.8,,"Đại lộ, Nguyễn Tất Thành, Phước Trung, Nha Trang, Khánh Hòa 650000, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipPoCbJoXfprG0n38gyNKlbCC-ZgfFAx1vLRxVeG=w138-h92-k-no,['Điểm thu hút khách du lịch']
Khánh Hòa,Sân khấu nhạc nước,4.6,,"669R+566, Vĩnh Nguyên, Nha Trang, Khánh Hòa, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipOKUrG2TorlcJx1nnRRPnkxPq30o01-TNqe3_N9=w122-h92-k-no,['Điểm thu hút khách du lịch']
Kiên Giang,Khu Vui Chơi Giải Trí Phú Điền,4,,"Xuyên Á, Lạc Hồng, Thạnh Lộc, Rạch Giá, Kiên Giang, Việt Nam",https://lh5.googleusercontent.com/p/AF1QipP5etHXm0Fd61Kd4XWUa_UTa_Tg8iUyCRJgunM9=w219-h92-k-no,"['Trung tâm vui chơi giải trí', 'Nhà hàng']"
